No,Title,Filename,Part,Categories
1,The Undertow of Grace,Poems/The Undertow of Grace.md,"Loss, Addiction, Recovery",Grief & Loss; Honor & Character; Betrayal
2,Day One,Poems/Day One.md,"Loss, Addiction, Recovery",Addiction & Recovery; Healing & Endurance
3,Have You Eaten?,Poems/Have You Eaten.md,"Loss, Addiction, Recovery",Grief & Loss
4,The Floor,Poems/The Floor.md,"Loss, Addiction, Recovery",Grief & Loss; Healing & Endurance
5,The Twenty-Mile Rule,Poems/The Twenty-Mile Rule.md,"Loss, Addiction, Recovery",Addiction & Recovery; Honor & Character
6,They Don't Kill You,Poems/They Don't Kill You.md,"Loss, Addiction, Recovery",Addiction & Recovery; Grief & Loss
7,The Strip of Light,Poems/The Strip of Light.md,"Loss, Addiction, Recovery",Confinement & Release; Rest & Stillness
8,The Door Opens Outward,Poems/The Door Opens Outward.md,"Loss, Addiction, Recovery",Confinement & Release; Worth & Belonging
9,Four Leashes,Poems/Four Leashes.md,"Loss, Addiction, Recovery",Addiction & Recovery; Fortitude & Gentleness
10,"Good, Not Perfect","Poems/Good, Not Perfect.md","Loss, Addiction, Recovery",Addiction & Recovery; Grace & Self-Forgiveness; Faith & Reverence
11,Pilot Light,Poems/Pilot Light.md,"Loss, Addiction, Recovery",Addiction & Recovery; Growth & Becoming
12,The Handle,Poems/The Handle.md,"Loss, Addiction, Recovery",Betrayal; Grief & Loss
13,Two Checks,Poems/Two Checks.md,"Loss, Addiction, Recovery",Betrayal; Fatherhood & Duty
14,Load-Bearing,Poems/Load-Bearing.md,"Loss, Addiction, Recovery",Betrayal; Fatherhood & Duty; Honor & Character
15,The river does not apologize,Poems/The river does not apologize.md,Fortitude & Gentleness,Fortitude & Gentleness; Worth & Belonging
16,You are allowed to be gentle,Poems/You are allowed to be gentle.md,Fortitude & Gentleness,Fortitude & Gentleness; Honor & Character
17,Do not become the cold,Poems/Do not become the cold.md,Fortitude & Gentleness,Fortitude & Gentleness; Grace & Self-Forgiveness; Nature as Teacher
18,Sowing in winter,Poems/Sowing in winter.md,Fortitude & Gentleness,Fortitude & Gentleness; Growth & Becoming
19,"Tempered, not hardened","Poems/Tempered, not hardened.md",Fortitude & Gentleness,Fortitude & Gentleness; Healing & Endurance
20,Let the weather come,Poems/Let the weather come.md,Fortitude & Gentleness,Fortitude & Gentleness; Nature as Teacher; Growth & Becoming
